Name,Rating,Votes,Duration,Genre
The Quiet Ones,6.3, 690,1h 50m,Action
One More Shot,5.4, 3.7K,1h 43m,Action
Zero,6.2, 67,1h 28m,Action
"I, the Executioner",6.4, 1.7K,1h 58m,Action
Jigra,6.0, 24K,2h 33m,Action
Prey,3.7, 3.3K,1h 26m,Action
Devara Part 1,6.0, 20K,2h 56m,Action
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Action
Badland Hunters,5.9, 12K,1h 47m,Action
The Last of Us: Immunity,5.3, 18,1h 4m,Action
My Hero Academia: You're Next,7.0, 2.1K,1h 50m,Action
Aavesham,7.8, 28K,2h 35m,Action
London Calling,7.5, 22,1h 49m,Action
Sunray: Fallen Soldier,4.3, 635,1h 55m,Action
Code 8: Part II,5.7, 16K,1h 40m,Action
Raqa,5.6, 213,1h 47m,Action
Striking Rescue,5.7, 416,1h 46m,Action
Ultraman: Rising,6.9, 6.4K,1h 57m,Action
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Action
The Price of Money: A Largo Winch Adventure,5.0, 1.2K,1h 40m,Action
Dominique,5.3, 2.2K,1h 40m,Action
The Clean Up Crew,4.1, 1.2K,1h 35m,Action
Utopia,3.6, 363,1h 31m,Action
Officer Black Belt,6.8, 8.3K,1h 48m,Action
Mafia Wars,3.4, 242,1h 34m,Action
Air Force One Down,4.4, 2.9K,1h 24m,Action
Death Whisperer 2,6.4, 1.4K,1h 50m,Action
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Action
Joe Baby,7.4, 32,1h 26m,Action
The Wages of Fear,4.6, 4.1K,1h 44m,Action
Night Call,6.8, 2K,1h 37m,Action
Pani,6.9, 3K,2h 23m,Action
KA,7.1, 1.6K,2h 31m,Action
Simarik,6.5, 2.7K,1h 51m,Action
Anaconda,4.9, 636,1h 24m,Action
Cesium Fallout,6.4, 699,2h 16m,Action
Dark Match,5.4, 955,1h 34m,Action
Latency,4.2, 2.6K,1h 34m,Action
Article 370,7.8, 25K,2h 38m,Action
The Family Star,5.4, 5.5K,2h 39m,Action
Life After Fighting,6.4, 2K,2h 6m,Action
Kill Em All 2,4.1, 1.3K,1h 28m,Action
One Fast Move,5.0, 2.2K,1h 48m,Action
40 Acres,6.8, 134,1h 53m,Action
Rogue Elements: A Ryan Drake Story,4.7, 975,44m,Action
Murder Company,3.7, 1.6K,1h 26m,Action
Elyas,6.1, 1.4K,1h 45m,Action
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Action
Bougainvillea,6.4, 3.2K,2h 18m,Action
200% Wolf,5.9, 1.3K,1h 38m,Action
Savi,6.1, 35K,2h 6m,Action
Handsome Guys,6.5, 839,1h 41m,Action
Lights Out,4.9, 1.8K,1h 30m,Action
Rifle Club,7.0, 4.3K,1h 53m,Action
Angels Fallen: Warriors of Peace,4.9, 5.8K,1h 43m,Action
The Greatest of All Time,5.7, 22K,3h 3m,Action
Alienoid: The Return to the Future,6.5, 2.6K,2h 2m,Action
Sixty Minutes,5.7, 5.2K,1h 28m,Action
City Hunter,6.3, 5.6K,1h 42m,Action
Vanvaas,6.6, 1.4K,2h 40m,Action
The Twisters,2.5, 339,1h 26m,Action
Panda Plan,5.1, 1.3K,1h 39m,Action
Escape,6.4, 2K,1h 34m,Action
Bloody Escape: Bats out of Hell,5.6, 47,1h 40m,Action
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Action
Arena Wars,4.8, 2.1K,1h 36m,Action
Sorgavaasal,6.6, 1.4K,2h 18m,Action
Golden Kamuy,6.3, 2.6K,2h 7m,Action
Overlord: The Sacred Kingdom,6.9, 979,2h 15m,Action
Saripodhaa Sanivaaram,7.0, 9.1K,2h 46m,Action
Agent Recon,2.4, 677,1h 25m,Action
All the Lost Ones,3.7, 245,1h 46m,Action
Heart of the Hunter,4.7, 2.2K,1h 45m,Action
Freedom,5.9, 1.4K,1h 50m,Action
Khadaan,7.1, 2.1K,2h 17m,Action
Agni,7.2, 15K,2h 2m,Action
Paradox Effect,6.0, 8.6K,1h 27m,Action
Operation Blood Hunt,3.5, 488,1h 33m,Action
Wynonna Earp: Vengeance,5.6, 1.5K,1h 36m,Action
Everybody Loves Jenifa,8.3, 88,2h 15m,Action
The Last Kumite,4.6, 2.3K,1h 45m,Action
Hijack 1971,6.8, 3.3K,1h 40m,Action
Bade Miyan Chote Miyan,3.8, 39K,2h 43m,Action
Die Hart 2: Die Harter,4.3, 5.5K,1h 32m,Action
Outlaw,5.2, 931,1h 22m,Action
Sheriff,6.9, 1.1K,2h 13m,Action
Kahar: Kapla High Council,6.9, 464,1h 42m,Action
Kanguva,4.5, 15K,2h 32m,Action
How to Rob a Bank,6.6, 4.2K,1h 28m,Action
Bad Boyz,3.4, 678,2h 30m,Action
Guntur Kaaram,5.4, 25K,2h 39m,Action
Yodha,5.7, 8.8K,2h 10m,Action
A.R.M,7.1, 8.7K,2h 30m,Action
Hellhound,4.3, 507,1h 43m,Action
Tales Beyond the Galaxy,4.7, 181,1h 16m,Action
Devil's Knight,5.2, 891,1h 30m,Action
72 Hours,4.1, 287,1h 27m,Action
Nice Girls,4.2, 1.2K,1h 32m,Action
A Legend,4.7, 908,2h 9m,Action
Black Heat,8.6, 118,1h 33m,Action
Bonnie,7.3, 37,2h,Action
Vettaiyan,7.0, 39K,2h 43m,Action
The Hangman,3.3, 1K,1h 32m,Action
Continental Split,3.6, 546,1h 28m,Action
Chandu Champion,7.8, 34K,2h 22m,Action
Mahadev Ka Gorakhpur,7.6, 389,2h 11m,Action
Fight Another Day,4.9, 353,1h 37m,Action
Wanted Man,4.8, 2.6K,1h 25m,Action
Ferry 2,5.6, 3.8K,1h 34m,Action
Ryan's World the Movie: Titan Universe Adventure,1.8, 693,1h 20m,Action
12 to Midnight,3.6, 284,1h 36m,Action
The Last Front,5.5, 611,1h 38m,Action
Bagheera,6.7, 7.4K,2h 38m,Action
The Lockdown,4.3, 610,1h 57m,Action
WWII: Operation Phoenix,6.2, 76,1h 46m,Action
Alien Country,4.4, 364,1h 36m,Action
Snow White and the Seven Samurai,3.2, 297,1h 28m,Action
War of the Worlds: Extinction,3.0, 207,1h 24m,Action
Raayan,6.5, 11K,2h 25m,Action
The Firefighters,5.7, 197,1h 46m,Action
Thangalaan,6.6, 6.6K,2h 36m,Action
Drive Back,4.7, 311,1h 34m,Action
Vedaa,6.0, 4.3K,2h 25m,Action
Cells at Work!,6.7, 235,1h 49m,Action
Rats!,6.5, 125,1h 25m,Action
Jacob Tyler,4.3, 59,2h 13m,Action
Dirty Money,5.6, 136,1h 40m,Action
"Love, Courage and the Battle of Bushy Run",5.0, 183,1h 53m,Action
Bionic,4.3, 1.7K,1h 50m,Action
Max,7.1, 3.4K,2h 12m,Action
The Ballad of Davy Crockett,4.6, 248,1h 36m,Action
Mura,7.3, 6.3K,2h 9m,Action
Auron Mein Kahan Dum Tha,6.5, 41K,2h 30m,Action
Shark Warning,3.4, 270,1h 34m,Action
Terminator: Skynet Rising,6.7, 267,1h 28m,Action
Citizen of a Kind,6.7, 824,1h 54m,Action
Escape from the 21st Century,6.5, 885,1h 38m,Action
Art of Eight Limbs,4.0, 316,1h 41m,Action
Kingdom 4: Return of the Great General,7.1, 1.3K,2h 25m,Action
Invasion,4.8, 680,1h 31m,Action
Get Fast,3.7, 458,1h 28m,Action
