Name,Rating,Votes,Duration,Genre
Gadera,5.1, 50,1h 48m,History
Aquarius,6.6, 21,1h 15m,History
Accident or Conspiracy: Godhra,7.4, 783,2h 13m,History
Yakamoz,6.5, 16,1h 36m,History
Guadalupe: Mother of Humanity,7.2, 38,1h 42m,History
Cinta Dari Timor,5.3, 23,1h 22m,History
"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",7.1, 28,1h 30m,History
Solos en la noche,5.7, 96,1h 28m,History
Village of Death: Oradour-sur-Glane 1944,7.8, 15,58m,History
Ecce Homo Brâncoveanu,7.0, 165,1h 32m,History
Ennio Doris - C'è anche domani,5.3, 97,1h 30m,History
Manyunya. Priklyucheniya v derevne,5.9, 120,1h 24m,History
Drama 1882,9.2, 19,45m,History
Chernyy zamok,7.9, 18,1h 55m,History
Pol Pot Dancing,7.1, 14,1h 42m,History
Obraz,7.6, 17,1h 35m,History
Manyunya. Priklyucheniya v Moskve,5.8, 110,1h 27m,History
Le choix du pianiste,5.8, 12,1h 46m,History
Cândido,6.3, 59,1h 39m,History
Ett hjärta är alltid rött,7.1, 394,1h 43m,History
Bloodspawn,5.7, 12,1h 16m,History
Powstaniec 1863,5.4, 138,1h 55m,History
The Man Outside,7.6, 11,1h 10m,History
Zhi Ci Qing Lv,6.7, 49,1h 29m,History
Lafran,8.2, 15,1h 39m,History
Wilhelm Gustloff,8.7, 8,1h 50m,History
Meet the Roman Emperor with Mary Beard,7.8, 44,59m,History
I am Al Ittihad,4.9, 228,1h 30m,History
"Zeme, kas dzied",6.4, 76,2h 30m,History
Ray of Hope,7.0, 10,1h 45m,History
Paul Anka: His Way,7.3, 11,1h 40m,History
Operation Star,7.6, 23,1h 42m,History
Lulu in Turin,8.5, 6,1h 16m,History
Nebesko,5.2, 10,1h 13m,History
North Korea: Dark Secrets,5.8, 81,1h 19m,History
Myall Creek Day of Justice,6.4, 17,1h 18m,History
Tayna Chyornoy Ruki,5.7, 23,1h 24m,History
Who Killed Lawrence of Arabia?,6.5, 32,1h 40m,History
Last Flamingo of the Red Summer Sunset,8.8, 13,1h 20m,History
Ainda Somos os Mesmos,5.8, 45,1h 30m,History
Sragaal,8.4, 19,2h 20m,History
Azerbaijan Atabeyler,7.6, 5,1h 40m,History
Churchill's Forgotten War,7.8, 12,47m,History
The Birth of Korea,4.9, 130,1h 41m,History
All or Nothin',8.0, 32,1h 35m,History
Iyunskaya polyn,10, 5,1h 19m,History
Pirates & Slaves,5.8, 6,53m,History
"Colón ADN, su verdadero origen",6.2, 49,1h 46m,History
C'era una volta il Derby Club,7.4, 16,1h 30m,History
Triumf,7.3, 9,1h 53m,History
Ek Chilte Jol,9.3, 12,1h 59m,History
Los indomables,6.5, 9,1h 46m,History
Piri Reis: The Incredible Chart,6.8, 21,2h 18m,History
Krigsvarsleren,7.4, 7,55m,History
"Georges Pompidou, la cruauté du pouvoir",6.2, 6,1h 44m,History
On Moral Grounds,8.4, 7,1h 14m,History
Xun zhao tang de zhang,7.8, 16,1h 33m,History
Die Mutigen 56 - Deutschlands längster Streik,6.6, 10,1h 30m,History
The Canal Map of Britain,6.8, 10,59m,History
Fast Track: Taking on the Speedway,9.5, 9,35m,History
