Name,Rating,Votes,Duration,Genre
"Till Then, Hanna!",6.3, 295,1h 50m,Romance
Five Blind Dates,5.1, 2K,1h 23m,Romance
Wanted: Girlfriend,4.3, 218,49m,Romance
Another End,6.4, 730,2h 9m,Romance
Qalb,6.6, 2.3K,2h 27m,Romance
Lesbian Space Princess,7.2, 131,1h 27m,Romance
The Glassworker,7.3, 1.7K,1h 38m,Romance
Umjolo: The Gone Girl,4.4, 272,1h 32m,Romance
Still Fabulous,4.9, 859,1h 32m,Romance
Dandelion,5.3, 405,1h 53m,Romance
Life is Filled with So Much of You,7.7, 50,1h 39m,Romance
My Name Is Loh Kiwan,6.7, 4.3K,2h 11m,Romance
Layla,6.1, 392,1h 40m,Romance
Love Switch,6.0, 242,1h 29m,Romance
Two to One,6.1, 725,1h 56m,Romance
From Contract Lover to the Billionaire's Bride,7.0, 515,1h 24m,Romance
Ipar Adalah Maut,7.0, 1.2K,2h 11m,Romance
Ajosepo,8.7, 54,2h 14m,Romance
Blue Sun Palace,6.5, 134,1h 56m,Romance
O Melhor Amigo,7.2, 61,1h 36m,Romance
The Groomsmen: Second Chances,6.0, 437,1h 24m,Romance
Previously Saved Version,5.4, 420,1h 57m,Romance
Haunted Heart,4.8, 471,2h 8m,Romance
Perfect Endings,5.5, 193,1h 40m,Romance
Duino,7.6, 119,1h 48m,Romance
Black Tea,5.1, 544,1h 50m,Romance
Mr. Manhattan,6.7, 445,1h 50m,Romance
Daniela Forever,6.2, 216,1h 53m,Romance
The Groomsmen: First Look,6.1, 387,1h 22m,Romance
Wild Wild Punjab,6.2, 15K,1h 49m,Romance
Good Bad Things,5.7, 197,1h 36m,Romance
Undergrads,5.5, 51,1h 6m,Romance
Ask Mevsimi,5.0, 343,2h 6m,Romance
In the Summer Rain,6.7, 7,2h 9m,Romance
"Hello, Love, Again",6.7, 857,2h 2m,Romance
The Silence of Marcos Tremmer,5.9, 158,1h 52m,Romance
Bau: Artist at War,7.0, 58,2h 10m,Romance
Mascarpone: The Rainbow Cake,6.1, 502,1h 45m,Romance
Books & Drinks,6.2, 98,1h 34m,Romance
8 Views of Lake Biwa,5.2, 122,2h 6m,Romance
The Southern Chronicles,8.8, 2.5K,2h,Romance
Hear Me: Our Summer,7.5, 680,1h 49m,Romance
Tillu Square,6.6, 3.4K,2h 17m,Romance
Intoxicated by Love,8.5, 13K,1h 58m,Romance
Christmas at Plumhill Manor,6.1, 499,1h 27m,Romance
Stag,3.6, 113,1h 27m,Romance
El Hawa Sultan,6.6, 707,2h 16m,Romance
Believe in Christmas,6.1, 826,1h 30m,Romance
Goyo,6.6, 2.2K,1h 46m,Romance
The Holiday Junkie,6.3, 447,1h 28m,Romance
Drawing Closer,7.6, 2.5K,1h 58m,Romance
She Taught Love,5.2, 415,1h 42m,Romance
Breakup Season,5.8, 307,1h 42m,Romance
Queens of Drama,6.3, 193,1h 54m,Romance
Beauty and the Billionaire: Bali,5.8, 201,1h 31m,Romance
Sicilian Holiday,5.0, 18,1h 42m,Romance
Bad Newz,4.7, 26K,2h 22m,Romance
Love Lies,7.2, 266,1h 54m,Romance
18×2 Beyond Youthful Days,7.3, 1.9K,2h 3m,Romance
Dilan 1983,6.6, 223,1h 56m,Romance
First Taste,6.0, 287,1h 37m,Romance
When in Rome,6.1, 741,1h 38m,Romance
Switch Up,8.6, 27,1h 45m,Romance
The Everything Pot,7.4, 33,1h 30m,Romance
0000 Kilometre,2.9, 126,1h 50m,Romance
The Holiday Exchange,5.6, 411,1h 30m,Romance
Else,6.1, 233,1h 42m,Romance
Auron Mein Kahan Dum Tha,6.5, 41K,2h 30m,Romance
Love Story,4.9, 393,2h 5m,Romance
Passport to Love,6.2, 402,1h 28m,Romance
A Merry Royal Christmas,5.2, 146,1h 28m,Romance
C4 Cinta,8.6, 119,2h 47m,Romance
Phir Aayi Hasseen Dillruba,5.8, 6.8K,2h 12m,Romance
Love at 39 Degrees,5.5, 1.4K,1h 55m,Romance
Christmas in the Spotlight,5.8, 667,1h 27m,Romance
Love Unlike in K-Dramas,6.9, 91,1h 58m,Romance
A '90s Christmas,6.0, 1.1K,1h 30m,Romance
The Glory of Life,6.6, 429,1h 38m,Romance
My Boo,6.1, 681,2h 5m,Romance
Reversi,7.6, 105,2h 15m,Romance
White Snake: Afloat,6.9, 470,2h 13m,Romance
You Are Not Alone,6.2, 69,1h 45m,Romance
Perfect Match,6.6, 336,1h 41m,Romance
Shigatsu ni nareba kanojo wa,6.2, 429,1h 48m,Romance
El Roomie,5.8, 305,1h 39m,Romance
Bachhala Malli,8.3, 3.9K,2h 20m,Romance
Do Aur Do Pyaar,6.4, 12K,2h 20m,Romance
Albany Road,7.6, 110,2h 15m,Romance
The Holiday Club,6.5, 364,1h 28m,Romance
Seré breve al momento de morir,6.5, 28,1h 18m,Romance
One Night in Tokyo,7.3, 74,1h 35m,Romance
Black Owner and Horny College Girls,3.9, 8,1h 5m,Romance
Detective Conan: The Million-Dollar Pentagram,6.7, 1.5K,1h 51m,Romance
Say a Little Prayer,8.5, 42,1h 43m,Romance
Chainsaws Were Singing,7.2, 361,1h 57m,Romance
Pantaskah Aku Berhijab,7.8, 51,1h 54m,Romance
Silent Love,6.3, 366,1h 56m,Romance
Love Reddy,8.1, 2.3K,2h 18m,Romance
Love... Reconsidered,4.3, 131,1h 28m,Romance
Karma's a Bitch,4.7, 33,1h 29m,Romance
Shrek 5: The Contract - A Fan Made Film,7.0, 19,1h 24m,Romance
Meet Me in Rome,5.2, 681,1h 25m,Romance
The Heartbreak Agency,5.3, 724,1h 34m,Romance
3391 Kilometres,4.2, 1.1K,1h 50m,Romance
Miss You,6.1, 3.1K,2h 8m,Romance
Rajkumar,7.4, 2.7K,2h 25m,Romance
Anyone But Her,4.9, 283,1h 33m,Romance
Marry Christmas,6.7, 61,1h 25m,Romance
Onegin,7.0, 1.2K,2h 21m,Romance
Super Happy Forever,6.9, 193,1h 34m,Romance
Trisha on the Rocks,5.2, 3K,2h 52m,Romance
Mai,6.8, 1.5K,2h 11m,Romance
A Toast to Love,5.6, 121,1h 29m,Romance
Siddharth Roy,6.3, 2.9K,2h 28m,Romance
The Private Eye,3.7, 134,1h 55m,Romance
Tendaberry,6.8, 42,1h 55m,Romance
36-24-36,6.1, 216,1h 58m,Romance
The Architecture of Love,6.9, 489,1h 50m,Romance
Once Upon a Christmas Wish,6.1, 320,1h 30m,Romance
Lyubov Sovetskogo Soyuza,5.1, 268,2h 30m,Romance
Love You to Debt,6.2, 759,2h 15m,Romance
Addition,8.3, 32,1h 31m,Romance
Movie Given Hiiragi Mix.,7.5, 168,1h 10m,Romance
Paper Flowers,8.8, 32,1h 40m,Romance
Aaram Aravinda Swamy,9.4, 329,2h 12m,Romance
Writing a Love Song,6.8, 184,1h 25m,Romance
Éden & Charlie,8.1, 9,45m,Romance
Kang Mak,6.4, 807,2h 2m,Romance
In Good Hands 2,5.3, 956,1h 39m,Romance
Mor Chhainha Bhuinya 2,8.3, 68,2h 40m,Romance
Murphy,7.2, 2.4K,2h 16m,Romance
No Pressure,5.1, 1.1K,1h 51m,Romance
The Swedish Torpedo,6.4, 140,2h,Romance
Svemu dodje kraj,6.6, 274,1h 29m,Romance
Oru Kattil Oru Muri,4.5, 58,2h 5m,Romance
Sihinayaki Adare,6.5, 187,2h 30m,Romance
Game On,5.3, 2.3K,2h 20m,Romance
Langue Étrangère,6.7, 506,1h 41m,Romance
Kisko Tha Pata,7.6, 15,2h 15m,Romance
Pool & Party,2.7, 235,1h 30m,Romance
Happiness Is,3.8, 296,1h 36m,Romance
"Aire, Just Breathe",4.8, 194,1h 38m,Romance
Gili Gili Raat,5.7, 12,1h 33m,Romance
Heartsping : Teenieping of Love,7.1, 24,TV-Y,Romance
Shark Island,3.2, 115,1h 21m,Romance
Once Upon a Honeymoon,6.8, 22,1h 49m,Romance
Umjolo: Day Ones,4.1, 157,1h 26m,Romance
"Aku Jati, Aku Asperger",8.6, 16,1h 28m,Romance
"Dao, Pho Va Piano",5.8, 204,1h 40m,Romance
Badaa Saat Fi Yawman Ma,6.4, 90,1h 40m,Romance
My Ex's Wedding,8.6, 46,1h 35m,Romance
A Circus Tale & a Love Song,5.9, 106,1h 54m,Romance
The Proud Princess,6.7, 111,1h 24m,Romance
Sevmek Yüzünden,3.6, 630,1h 44m,Romance
Forbidden Love,7.1, 27,1h 36m,Romance
Sex Love Venice,4.9, 325,1h 42m,Romance
Dreaming of You,8.5, 31,1h 35m,Romance
Honeymoonish,5.3, 1.5K,1h 40m,Romance
Kill Me If You Dare,4.6, 1.3K,1h 34m,Romance
Ma chi ti conosce,5.9, 135,1h 45m,Romance
Secret: Untold Melody,7.1, 437,1h 43m,Romance
Kailasa Kasidre,5.7, 1K,2h 4m,Romance
Premalo,7.3, 1.1K,2h 8m,Romance
