Name,Rating,Votes,Duration,Genre
Miyazaki: L'Esprit de la Nature,7.1, 216,1h 24m,Documentary
Government Gangsters,4.0, 325,1h 4m,Documentary
De wilde Noordzee,7.3, 329,1h 28m,Documentary
Kix,7.9, 1.1K,1h 34m,Documentary
The Beach Boys,7.1, 2.1K,1h 53m,Documentary
I Am: Celine Dion,7.7, 7.8K,1h 43m,Documentary
The Life of Jesus,8.1, 44,TV-G,Documentary
Road Diary: Bruce Springsteen and the E Street Band,7.7, 994,1h 39m,Documentary
Made in England: The Films of Powell and Pressburger,7.9, 1.3K,2h 11m,Documentary
The Final: Attack on Wembley,6.3, 2.5K,1h 22m,Documentary
Becoming Madonna,6.9, 220,1h 31m,Documentary
Federer: Twelve Final Days,7.3, 4.1K,1h 28m,Documentary
Sins of Ireland,8.9, 11,1h 23m,Documentary
The Antisocial Network: Memes to Mayhem,6.4, 2.6K,1h 25m,Documentary
Stormy,6.4, 1.1K,1h 49m,Documentary
RRR: Behind & Beyond,8.1, 315,1h 38m,Documentary
Freediver,6.8, 111,1h 28m,Documentary
Agent of Happiness,7.2, 1.1K,1h 33m,Documentary
Giannis: The Marvelous Journey,8.3, 1.7K,1h 49m,Documentary
E.1027 - Eileen Gray and the House by the Sea,6.9, 104,1h 29m,Documentary
Vitalik: An Ethereum Story,8.2, 43,1h 25m,Documentary
God & Country,6.3, 1.2K,1h 30m,Documentary
The Ark and the Darkness,5.3, 501,2h 5m,Documentary
DIG! XX,8.0, 83,2h 26m,Documentary
Surveilled,6.2, 670,1h,Documentary
Hack Your Health: The Secrets of Your Gut,6.6, 3.2K,1h 19m,Documentary
From Russia with Lev,8.2, 876,1h 32m,Documentary
Architecton,6.5, 302,1h 38m,Documentary
ADA: My Mother the Architect,6.0, 22,1h 21m,Documentary
Dinner with Leatherface,7.5, 27,1h 46m,Documentary
Youth (Hard Times),7.4, 88,3h 47m,Documentary
In Waves and War,8.7, 9,1h 47m,Documentary
Secrets of the Neanderthals,6.4, 2.6K,1h 20m,Documentary
Home Game,8.5, 18,1h 38m,Documentary
Separated,6.6, 191,1h 33m,Documentary
Money Electric: The Bitcoin Mystery,6.8, 4.6K,1h 40m,Documentary
Faye,7.1, 3.1K,1h 31m,Documentary
State Organs,7.1, 245,1h 15m,Documentary
