Name,Rating,Votes,Duration,Genre
Long Gone Heroes,5.2, 1.1K,1h 41m,Thriller
Black Dog,7.2, 2.8K,1h 56m,Thriller
The Devil's Bath,6.6, 6.2K,2h 1m,Thriller
Bonhoeffer: Pastor. Spy. Assassin.,6.3, 3.6K,2h 13m,Thriller
The Silent Hour,6.1, 7.4K,1h 39m,Thriller
Night Swim,4.7, 27K,1h 38m,Thriller
One More Shot,5.4, 3.7K,1h 43m,Thriller
Trigger Warning,4.6, 19K,1h 46m,Thriller
Succubus,4.6, 1.2K,1h 43m,Thriller
The Shadow Strays,6.5, 9.1K,2h 24m,Thriller
Electra,6.5, 41,1h 25m,Thriller
Restless,6.7, 185,1h 29m,Thriller
Dead Mail,6.7, 321,1h 46m,Thriller
Breathe,4.2, 7.2K,1h 33m,Thriller
Sumala,5.8, 950,1h 52m,Thriller
Force of Nature: The Dry 2,5.8, 7K,2h,Thriller
Kishkindha Kaandam,8.0, 12K,2h 13m,Thriller
The Inheritance,4.7, 2.9K,1h 25m,Thriller
Do Patti,6.4, 69K,2h 6m,Thriller
A Sacrifice,5.0, 5.2K,1h 34m,Thriller
The Platform 2,4.9, 40K,1h 39m,Thriller
We Bury the Dead,7.2, 107,1h 34m,Thriller
McVeigh,4.5, 504,1h 30m,Thriller
The Girl in the Pool,4.3, 1.4K,1h 29m,Thriller
Relay,7.5, 106,1h 52m,Thriller
Weekend in Taipei,5.7, 4.6K,1h 40m,Thriller
Desert Fiends,8.3, 522,1h 46m,Thriller
The Exorcism,4.2, 11K,1h 35m,Thriller
Boneyard,4.1, 5K,1h 36m,Thriller
Red Right Hand,5.5, 5.9K,1h 51m,Thriller
Take Cover,5.1, 2.4K,1h 30m,Thriller
River of Blood,5.2, 1.8K,1h 26m,Thriller
Mea Culpa,4.2, 7K,2h,Thriller
Colors of Evil: Red,6.4, 8.4K,1h 51m,Thriller
Gazer,6.1, 131,1h 54m,Thriller
Grafted,5.6, 2.2K,1h 36m,Thriller
V/H/S/Beyond,5.8, 9.4K,1h 54m,Thriller
Chief of Station,4.7, 4.6K,1h 37m,Thriller
Skincare,5.7, 4.4K,1h 36m,Thriller
Cloud,6.3, 1.1K,2h 4m,Thriller
Cheat,4.2, 201,1h 45m,Thriller
Imaginary,4.7, 17K,1h 44m,Thriller
Baby John,5.2, 17K,2h 39m,Thriller
Uprising,6.6, 5.5K,2h 6m,Thriller
Amber Alert,6.0, 5.6K,1h 30m,Thriller
In Flight,3.9, 124,1h 31m,Thriller
