Name,Rating,Votes,Duration,Genre,Duration_Minutes
The Wages of Fear,4.6,4100,1h 44m,Action,104
Levels,5.0,1500,1h 33m,Action,93
Baby Invasion,4.5,441,1h 20m,Action,80
"I, the Executioner",6.3,1700,1h 58m,Action,118
Dominique,5.3,2200,1h 40m,Action,100
Devara Part 1,6.0,20000,2h 56m,Action,176
A Legend,4.7,902,2h 9m,Action,129
Rogue Elements: A Ryan Drake Story,4.7,964,44m,Action,44
The Clean Up Crew,4.1,1100,1h 35m,Action,95
Alien: Rubicon,2.4,339,1h 26m,Action,86
The Courier,6.0,4400,1h 41m,Action,101
Joe Baby,7.4,32,1h 26m,Action,86
Dan Da Dan: First Encounter,8.2,2700,1h 23m,Action,83
Officer Black Belt,6.8,8200,1h 48m,Action,108
Badland Hunters,5.9,12000,1h 47m,Action,107
Hounds of War,4.5,1800,1h 35m,Action,95
Rifle Club,7.0,4200,1h 53m,Action,113
Utopia,3.6,360,1h 31m,Action,91
Night Call,6.8,1900,1h 37m,Action,97
Hagen,6.1,1200,2h 19m,Action,139
Ultraman: Rising,6.9,6400,1h 57m,Action,117
Mafia Wars,3.4,239,1h 34m,Action,94
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8500,1h 44m,Action,104
Dark Match,5.4,945,1h 34m,Action,94
Cesium Fallout,6.4,668,2h 16m,Action,136
Death Whisperer 2,6.4,1400,1h 50m,Action,110
Anaconda,4.9,635,1h 24m,Action,84
The Price of Money: A Largo Winch Adventure,5.0,1100,1h 40m,Action,100
Fighter,6.2,52000,2h 46m,Action,166
Kill Em All 2,4.1,1300,1h 28m,Action,88
Darkness of Man,4.8,3200,1h 49m,Action,109
Code 8: Part II,5.7,16000,1h 40m,Action,100
Handsome Guys,6.5,825,1h 41m,Action,101
Vanvaas,6.6,1300,2h 40m,Action,160
Bougainvillea,6.4,3200,2h 18m,Action,138
Air Force One Down,4.4,2900,1h 24m,Action,84
Zero,6.2,58,1h 28m,Action,88
Sunray: Fallen Soldier,4.3,629,1h 55m,Action,115
